date,symbol,side,quantity,price,order_type,realized_pnl
2023-02-02,AAPL,buy,20,150.0,Market,0.0
2023-02-03,MSFT,buy,21,245.0,Market,0.0
2023-02-06,AAPL,sell,20,159.0,Market,180.0
2023-02-06,MSFT,sell,21,259.7,Market,308.7
2023-02-07,AAPL,buy,24,174.91,Market,0.0
2023-02-08,AAPL,sell,24,173.19,Market,-41.37
2023-02-09,GOOGL,buy,22,95.0,Market,0.0
2023-02-10,AMZN,buy,23,98.0,Market,0.0
2023-02-13,GOOGL,sell,22,100.7,Market,125.4
2023-02-13,AMZN,sell,23,103.88,Market,135.24
2023-02-13,TSLA,buy,24,195.0,Market,0.0
2023-02-14,AAPL,buy,18,173.19,Market,0.0
2023-02-15,AAPL,sell,18,174.59,Market,25.28
2023-02-18,TSLA,sell,24,206.7,Market,280.8
2023-02-19,MSFT,buy,22,297.75,Market,0.0
2023-02-19,AAPL,buy,16,174.59,Market,0.0
2023-02-20,MSFT,sell,22,297.98,Market,5.14
2023-02-20,AAPL,sell,16,173.82,Market,-12.38
2023-02-22,NVDA,buy,25,220.0,Market,0.0
2023-02-24,META,buy,26,180.0,Market,0.0
2023-02-25,NVDA,sell,25,233.2,Market,330.0
2023-02-26,AAPL,buy,18,173.82,Market,0.0
2023-02-26,MSFT,buy,18,297.98,Market,0.0
2023-02-27,MSFT,sell,18,295.58,Market,-43.24
2023-02-27,AMD,buy,27,85.0,Market,0.0
2023-02-28,AAPL,sell,18,174.89,Market,19.24
2023-02-28,META,sell,26,190.8,Market,280.8
2023-02-28,INTC,buy,28,28.0,Market,0.0
2023-03-01,COST,buy,29,485.0,Market,0.0
2023-03-02,AMD,sell,27,90.1,Market,137.7
2023-03-02,NFLX,buy,30,350.0,Market,0.0
2023-03-04,INTC,sell,28,29.68,Market,47.04
2023-03-05,COST,sell,29,514.1,Market,843.9
2023-03-06,NFLX,sell,30,371.0,Market,630.0
2023-03-10,AVGO,buy,31,580.0,Market,0.0
2023-03-13,AAPL,buy,32,159.0,Market,0.0
2023-03-15,AVGO,sell,31,614.8,Market,1078.8
2023-03-18,AAPL,sell,32,168.54,Market,305.28
2023-03-20,MSFT,buy,33,259.7,Market,0.0
2023-03-23,MSFT,sell,33,275.28,Market,514.21
2023-03-27,GOOGL,buy,34,100.7,Market,0.0
2023-03-29,AMZN,buy,35,103.88,Market,0.0
2023-03-30,TSLA,buy,36,206.7,Market,0.0
2023-03-31,NVDA,buy,37,233.2,Market,0.0
2023-03-31,GOOGL,sell,34,106.74,Market,205.43
2023-04-02,AMZN,sell,35,110.11,Market,218.15
2023-04-04,TSLA,sell,36,219.1,Market,446.47
2023-04-05,AAPL,buy,25,168.54,Market,0.0
2023-04-05,NVDA,sell,37,247.19,Market,517.7
2023-04-06,MSFT,buy,25,275.28,Market,0.0
2023-04-11,MSFT,sell,25,286.29,Market,275.28
2023-04-11,AAPL,sell,25,175.28,Market,168.54
2023-04-18,GOOGL,buy,25,106.74,Market,0.0
2023-04-21,AMZN,buy,25,110.11,Market,0.0
2023-04-22,GOOGL,sell,25,111.01,Market,106.74
2023-04-25,TSLA,buy,25,219.1,Market,0.0
2023-04-27,AMZN,sell,25,114.52,Market,110.11
2023-05-01,TSLA,sell,25,227.87,Market,219.1
2023-05-01,NVDA,buy,25,247.19,Market,0.0
2023-05-02,META,buy,25,190.8,Market,0.0
2023-05-05,NVDA,sell,25,257.08,Market,247.19
2023-05-08,META,sell,25,198.43,Market,190.8
2023-05-11,AMD,buy,25,90.1,Market,0.0
2023-05-12,INTC,buy,25,29.68,Market,0.0
2023-05-16,AMD,sell,25,93.7,Market,90.1
2023-05-16,INTC,sell,25,30.87,Market,29.68
2023-05-16,COST,buy,25,514.1,Market,0.0
2023-05-19,NFLX,buy,25,371.0,Market,0.0
2023-05-20,COST,sell,25,534.66,Market,514.1
2023-05-24,NFLX,sell,25,385.84,Market,371.0
2023-05-24,AVGO,buy,25,614.8,Market,0.0
2023-05-26,AAPL,buy,25,175.28,Market,0.0
2023-05-29,MSFT,buy,25,286.29,Market,0.0
2023-05-30,AVGO,sell,25,639.39,Market,614.8
2023-06-01,GOOGL,buy,25,111.01,Market,0.0
2023-06-01,AAPL,sell,25,182.29,Market,175.28
2023-06-04,MSFT,sell,25,297.75,Market,286.29
2023-06-06,GOOGL,sell,25,115.45,Market,111.01
2023-06-08,AMZN,buy,25,114.52,Market,0.0
2023-06-13,TSLA,buy,25,227.87,Market,0.0
2023-06-14,AMZN,sell,25,119.1,Market,114.52
2023-06-14,NVDA,buy,25,257.08,Market,0.0
2023-06-16,META,buy,25,198.43,Market,0.0
2023-06-19,TSLA,sell,25,236.98,Market,227.87
2023-06-20,NVDA,sell,25,267.36,Market,257.08
2023-06-21,META,sell,25,206.37,Market,198.43
2023-06-23,AMD,buy,25,93.7,Market,0.0
2023-06-27,INTC,buy,25,30.87,Market,0.0
2023-06-28,AMD,sell,25,97.45,Market,93.7
